№;Тип установи;Код за ЄДРПОУ;Повне найменування;Повна адреса;ПІБ керівника;Дата видачі
522;Фінансова компанія;39281096;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «НОВУС»;04070 КИЇВ, КИЇВ 70, БОРИСОГЛІБСЬКА, буд.15 літера Г, корп.-, оф.(кв.)-;Роо Марина Вікторівна;20.10.2014
523;Фінансова компанія;39319150;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""УНІВЕРСАЛЬНА ФАКТОРИНГОВА КОМПАНІЯ""";01042 КИЇВ, КИЇВ 42, Саперне поле, буд.8;Коржовський  Володимир  Борисович;16.10.2014
524;Фінансова компанія;39307260;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ МАГНАТ""";01133 КИЇВ, КИЇВ 133, ЄВГЕНА КОНОВАЛЬЦЯ, буд.36-В, корп.-, оф.(кв.)-;Діденко Едуард Євгенійович;16.10.2014
525;Інша кредитна установа;39365935;"Товариство з обмеженою відповідальністю ""УКРФІНАНС ПЛЮС""";61022 ХАРКІВСЬКА ОБЛАСТЬ, ХАРКІВ, МІСТО ХАРКІВ, Іванівська, буд.1, корп.-, оф.(кв.)-;Попов Володимир Григорович;10.10.2014
526;Ломбард;39353673;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД ""СКАРАБЕЙ"" КОНСАЛТ СЕРВІС І КОМПАНІЯ""";50007 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, КРИВИЙ РІГ, МІСТО КРИВИЙ РІГ, БАЙКАЛЬСЬКА, буд.96, корп.-, оф.(кв.)-;ГУЛЮК СВІТЛАНА ВАСИЛІВНА;10.10.2014
527;Фінансова компанія;39128344;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""СТАНДАРД ФІНАНС ГРУПП""";65012 ОДЕСЬКА ОБЛАСТЬ, ОДЕСА, МІСТО ОДЕСА, Гімназична, буд.21;Пудовкін Вячіслав Юрійович;10.10.2014
528;Фінансова компанія;39321683;"Товариство з обмеженою відповідальністю ""ФІНАНСОВА КОМПАНІЯ ""ФАКТОР-СЕРВІС""";04116 КИЇВ, КИЇВ 116, вулиця Старокиївська, буд.10;Тощев Роман Володимирович;02.10.2014
529;Фінансова компанія;39295156;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ОЛІМПІЯ""";01032 КИЇВ, КИЇВ 32, Жилянська, буд.114, корп.-, оф.(кв.)6;Побережська Галина Борисівна;02.10.2014
530;Фінансова компанія;39287145;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""АБЕКОР""";01135 КИЇВ, КИЇВ 135, ЗЛОТОУСТІВСЬКА, буд.30, корп.-, оф.(кв.)-;КОНТУШ ЯРОСЛАВ ВІКТОРОВИЧ;30.09.2014
531;Фінансова компанія;39325612;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""КОМФОРТ ФІНАНС""";03062 КИЇВ, КИЇВ 62, проспект Перемоги, буд.67;Гладишенко Микола  Ігорович;18.09.2014
532;Фінансова компанія;39319365;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""МАКСІ КАПІТАЛ ГРУП""";04176 КИЇВ, КИЇВ 176, ЕЛЕКТРИКІВ, буд.29;БАЛАБАН РУСЛАН ВОЛОДИМИРОВИЧ;18.09.2014
533;Кредитна спілка;39331106;"КРЕДИТНА СПІЛКА ""КАСА""";65012 ОДЕСЬКА ОБЛАСТЬ, ОДЕСА, МІСТО ОДЕСА, Троїцька, буд.33-А, оф.(кв.)офіс 401;Павленко  Оксана  Олександрівна;16.09.2014
534;Фінансова компанія;39299501;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТРІОЛАН.МАНІ""";03067 КИЇВ, КИЇВ 67, бульвар Івана Лепсе, буд.4;Гриценко Катерина Григорівна;04.09.2014
535;Фінансова компанія;39314503;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ПРОФКРЕДИТ""";01133 КИЇВ, КИЇВ 133, Мечникова, буд.14/1;Кіріяк Євген Володимирович;28.08.2014
536;Фінансова компанія;39314440;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ФІНЕКСПЕРТ""";03038 КИЇВ, КИЇВ 38, Миколи Грінченка, буд.4;Когон Ростистав Еліазарович;28.08.2014
537;Фінансова компанія;39276835;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""СВ ФІНАНС""";03189 КИЇВ, КИЇВ 189, Вільямса, буд.4;Забарний  Олександр Олександрович;12.08.2014
538;Фінансова компанія;39255883;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ФІНГАРАНТ""";03035 КИЇВ, КИЇВ 35, О. Довженка, буд.-, корп.-, оф.(кв.)п/п., 1-Б, прим. №1;Ліманський Ярослав Сергійович;12.08.2014
539;Фінансова компанія;39273347;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФАКТОРИНГОВА КОМПАНІЯ ""СМАРТ КАПІТАЛ ІНВЕСТ""";03022 КИЇВ, КИЇВ 22, ВАСИЛЬКІВСЬКА, буд.38, оф.(кв.)127/3;БОЛІНСЬКИЙ СВЯТОСЛАВ СВЯТОСЛАВОВИЧ;07.08.2014
540;Фінансова компанія;39269220;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЕВРОПЕЙСЬКА ПЛАТІЖНА СИСТЕМА""";03067 КИЇВ, КИЇВ 67, бульвар Івана Лепсе, буд.4;Яківчук Максим Олександрович;07.08.2014
541;Інша кредитна установа;39258549;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ІГРОШІ""";01001 КИЇВ, КИЇВ 1, Михайлівська, буд.15/1, корп.Б;Гуламі Рональдс -;07.08.2014
542;Страхова компанія;39248902;"ТОВАРИСТВО З ДОДАТКОВОЮ ВІДПОВІДАЛЬНІСТЮ ""СТРАХОВА КОМПАНІЯ ""НАДІЙНА""";01021 КИЇВ, КИЇВ 21, провулок Мар'яненка , буд.9;Зубар Наталя Василівна;07.08.2014
543;Фінансова компанія;39243396;"Товариство з обмеженою відповідальністю ""ФК АУРУМ ФІНАНС""";02121 КИЇВ, КИЇВ 121, колекторна, буд.3, корп.-, оф.(кв.)-;Іващишин  Віктор Михайлович;07.08.2014
544;Фінансова компанія;39282833;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""АВЕРС КАПІТАЛ""";01133 КИЇВ, КИЇВ 133, МЕЧНИКОВА, буд.14/1;ГАБРИЛЬЧУК ВАДИМ ОЛЕКСАНДРОВИЧ;05.08.2014
545;Фінансова компанія;39282812;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""СПІРІУС""";03026 КИЇВ, КИЇВ 26, ПИРОГІВСЬКИЙ ШЛЯХ, буд.169, оф.(кв.)15;Продіус Олександр Леонтійович;05.08.2014
546;Фінансова компанія;39013897;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ГОРИЗОНТ""";01033 КИЇВ, КИЇВ 33, Шота Руставелі, буд.44, оф.(кв.)104;Пилюченко Інна Георгіївна;05.08.2014
547;Фінансова компанія;39013724;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ СМАРТ ГРУП""";01103 КИЇВ, КИЇВ 103, Підвисоцького професора/Драгомирова, буд.10/10, корп.-, оф.(кв.)-;Мельник Олександр Володимирович;05.08.2014
548;Фінансова компанія;39216619;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""КОНВЕРСІЯ""";65065 ОДЕСЬКА ОБЛАСТЬ, ОДЕСА, МІСТО ОДЕСА, Армійська, буд.23, корп.-, оф.(кв.)-;Опр Ігор  Петрович;31.07.2014
549;Страхова компанія;39213513;"ТОВАРИСТВО З ДОДАТКОВОЮ ВІДПОВІДАЛЬНІСТЮ ""СТРАХОВА КОМПАНІЯ ""СПЕЙР""";03035 КИЇВ, КИЇВ 35, площа Солом'янська, буд.2, оф.(кв.)404;ІВАНТИШИН ВАСИЛЬ МИРОСЛАВОВИЧ;31.07.2014
550;Страхова компанія;39212956;"ТОВАРИСТВО З ДОДАТКОВОЮ ВІДПОВІДАЛЬНІСТЮ ""СТРАХОВА КОМПАНІЯ ""АССУР""";61023 ХАРКІВСЬКА ОБЛАСТЬ, ХАРКІВ, МІСТО ХАРКІВ, ВУЛ.СУМСЬКА, буд.128;Маєвський  Олександр Юрійович;31.07.2014
551;Інша кредитна установа;39167588;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «МІКРОКРЕДИТНИЙ ЦЕНТР БМ»;01103 КИЇВ, КИЇВ 103, вулиця Залізничне шосе, буд.45, оф.(кв.)офіс 302;Македонський Олександр Євгенович;31.07.2014
552;Ломбард;39163007;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД СОЮЗ"" ТОВ ""СОЛІДГРУП"", ТОВ ""СОЛДІКОМПАНІ""";49054 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, ДНІПРОПЕТРОВСЬК, МІСТО ДНІПРО, проспект Олександра Поля, буд.101, корп.-, оф.(кв.)106;Ходаковська Ірина Миколаївна;31.07.2014
553;Інша кредитна установа;39223076;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МРІЯ КРЕДИТ""";49000 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, ДНІПРОПЕТРОВСЬК, МІСТО ДНІПРОПЕТРОВСЬК, ВОЛОДІ ДУБІНІНА, буд.8, корп.-, оф.(кв.)104;БЕРЕЗІН ОЛЕКСАНДР ВОЛОДИМИРОВИЧ;24.07.2014
554;Інша кредитна установа;39000364;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ІНТЕРКЕШ УКРАЇНА""";88018 ЗАКАРПАТСЬКА ОБЛАСТЬ, УЖГОРОД, МІСТО УЖГОРОД, ШВАБСЬКА, буд.17;Рімек  Олександр Євгенович;15.07.2014
555;Ломбард;39227327;"ПОВНЕ ТОВАРИСТВО ""АВТО ЛОМБАРД ""АЛ.ЮА І КОМПАНІЯ""";01015 КИЇВ, КИЇВ 15, Московська , буд.46/2, корп.Літера А;Камінський Андрій Іванович;08.07.2014
556;Фінансова компанія;38985417;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ФІНАНС ТІМ""";03150 КИЇВ, КИЇВ 150, Велика Васильківська, буд.139, оф.(кв.)337;ВЛАДИМИРОВ АНАТОЛІЙ ВІКТОРОВИЧ;08.07.2014
557;Фінансова компанія;38985197;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ТОП ФІНАНС""";01010 КИЇВ, КИЇВ 10, МИКОЛИ ГАЙЦАНА, буд.6;КОРЧЕВНЮК ОЛЕГ ВОЛОДИМИРОВИЧ;08.07.2014
558;Ломбард;37938167;"ПОВНЕ ТОВАРИСТВО ""Перший Український ломбард"" Петринін О.В. і компанія""";42400 СУМСЬКА ОБЛАСТЬ, КРАСНОПІЛЬСЬКИЙ РАЙОН КРАСНОПІЛЛЯ, Мезенівська, буд.45А;Сергєєва Людмила Порфирівна;08.07.2014
559;Фінансова компанія;39080455;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АЗУРРО ФІНАНС""";49000 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, ДНІПРОПЕТРОВСЬК, МІСТО ДНІПРОПЕТРОВСЬК, Леніна, буд.21, оф.(кв.)7;Гордієнко Вікторія Вікторівна;03.07.2014
560;Ломбард;36713504;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД ""СОКОЛЕНКО І КОМПАНІЯ""";94200 ЛУГАНСЬКА ОБЛАСТЬ, АЛЧЕВСЬК, МІСТО АЛЧЕВСЬК, ФРУНЗЕ, буд.44, оф.(кв.)22;ГАГАЙ ПОЛІКАРП СЕРГІЙОВИЧ;03.07.2014
561;Ломбард;39226957;"ПОВНЕ ТОВАРИСТВО ""ЦИТРІН ФІНАНС ЛОМБАРД"", ТзОВ ""ЦИТРІН ФІНАНС"" І КОМПАНІЯ""";79018 ЛЬВІВСЬКА ОБЛАСТЬ, ЛЬВІВ, МІСТО ЛЬВІВ, Городоцька, буд.159;Чепракова Олена Олександрівна;26.06.2014
562;Страхова компанія;39099398;"ТОВАРИСТВО З ДОДАТКОВОЮ ВІДПОВІДАЛЬНІСТЮ ""СТРАХОВА КОМПАНІЯ ""ІННОВАЦІЙНІ СТРАХОВІ ТЕХНОЛОГІЇ""";04050 КИЇВ, КИЇВ 50, вул. Мельникова, буд.81, корп.літера А;Ковальова Юлія Сергіївна;24.06.2014
563;Ломбард;39207688;"ПОВНЕ ТОВАРИСТВО ""ВАШ ЛОМБАРД"" КУЗНЄЦОВА І КОМПАНІЯ""";16600 ЧЕРНІГІВСЬКА ОБЛАСТЬ, НІЖИНСЬКИЙ РАЙОН НІЖИН, Вокзальна, буд.6-Б, корп.-, оф.(кв.)-;Колесник Наталія Миколаївна;17.06.2014
564;Інша кредитна установа;39194648;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КИЇВСЬКА КРЕДИТНА УСТАНОВА""";02660 КИЇВ, КИЇВ 660, Євгена Сверстюка, буд.21, оф.(кв.)805;Карпова Олена Олександрівна;17.06.2014
565;Фінансова компанія;39041180;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТФК ФІНАНС""";04073 КИЇВ, КИЇВ 73, СЕМЕНА СКЛЯРЕНКА, буд.15, оф.(кв.)офіс 200, кімната 8;ХРИСТОЛЮБОВ  ВОЛОДИМИР  ПАВЛОВИЧ;05.06.2014
566;Фінансова компанія;39115791;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""АВЕРАЖ""";02095 КИЇВ, КИЇВ 95, КАХОВСЬКА, буд.71 А;Нужненко  Юрій Іванович;03.06.2014
567;Фінансова компанія;39114866;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ЕСАЙМЕНТ""";01013 КИЇВ, КИЇВ 13, БУДІНДУСТРІЇ, буд.9;БУРКА СЕРГІЙ ОЛЕКСАНДРОВИЧ;03.06.2014
568;Фінансова компанія;39114819;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ЕКС-РАЙТ""";01004 КИЇВ, КИЇВ 4, ГОРЬКОГО, буд.9;НЕГІНСЬКИЙ РУСЛАН МАРКОВИЧ;03.06.2014
569;Ломбард;39074991;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД ""КИТ ГРУП ПЛЮС"" ТОВ ""КИТ ГРУП"" І КОМПАНІЯ""";61003 ХАРКІВСЬКА ОБЛАСТЬ, ХАРКІВ, МІСТО ХАРКІВ, КООПЕРАТИВНА, буд.6/8, оф.(кв.)302;ПОЛЬОВА ОЛЬГА ВІКТОРІВНА;03.06.2014
570;Страхова компанія;39180855;"ТОВАРИСТВО З ДОДАТКОВОЮ ВІДПОВІДАЛЬНІСТЮ ""СТРАХОВА КОМПАНІЯ ""АРСЕНАЛ ЛАЙФ""";03141 КИЇВ, КИЇВ 141, Солом'янська, буд.33;Небога Тетяна Володимирівна;27.05.2014
571;Кредитна спілка;39167297;"КРЕДИТНА СПІЛКА ""СОЮЗ-ФІНАНС""";49000 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, ДНІПРОПЕТРОВСЬК, МІСТО ДНІПРО, КАРЛА ЛІБКНЕХТА, буд.49;Кудлай Олена Юріївна;27.05.2014
572;Ломбард;39150768;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД ""ПЕРША ДОПОМОГА"" ГРОШІ ЮА І КОМПАНІЯ""";02002 КИЇВ, КИЇВ, Панельна, буд.5;Райчук  Андрій Олександрович;22.05.2014
573;Інша кредитна установа;39145297;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПРОСТО ПОЗИКА""";01001 КИЇВ, КИЇВ 1, ЕСПЛАНАДНА, буд.28А;СЛЮСАР ЄВГЕНІЙ ГРИГОРОВИЧ;22.05.2014
574;Фінансова компанія;39164414;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ФІНАНСОВИЙ СВІТ""";65065 ОДЕСЬКА ОБЛАСТЬ, ОДЕСА, МІСТО ОДЕСА, Армійська, буд.23, корп.-, оф.(кв.)-;Подгорниц Юлія Валеріївна;21.05.2014
